,A_1,A_2,A_3,B_1,B_2,B_3
0610005C13Rik,0,0,0,0,0,0
0610009B22Rik,0,0,0,0,0,0
0610009E02Rik,0,0,0,0,0,0
0610009L18Rik,0,0,0,0,0,0
0610010F05Rik,0,0,0,0,0,0
0610010K14Rik,0,0,0,0,0,0
0610012G03Rik,0,0,0,0,0,0
0610030E20Rik,0,0,0,0,0,0
0610039K10Rik,0,0,0,0,0,0
0610040B10Rik,0,0,0,0,0,0
0610040J01Rik,0,0,0,0,0,0
0610043K17Rik,0,0,0,0,0,0
1010001B22Rik,0,0,0,0,0,0
1110002J07Rik,0,0,0,0,0,0
1110002L01Rik,0,0,0,0,0,0
1110004F10Rik,0,0,0,0,0,0
1110006O24Rik,0,0,0,0,0,0
1110008P14Rik,0,0,0,0,0,0
1110012L19Rik,0,0,0,0,0,0
1110013H19Rik,0,0,0,0,0,0
1110017D15Rik,0,0,0,0,0,0
1110019D14Rik,0,0,0,0,0,0
1110020A21Rik,0,0,0,0,0,0
1110025M09Rik,0,0,0,0,0,0
1110032A03Rik,0,0,0,0,0,0
1110032F04Rik,0,0,0,0,0,0
1110035H17Rik,0,0,0,0,0,0
1110038B12Rik,0,0,0,0,0,0
1110038F14Rik,0,0,0,0,0,0
1110046J04Rik,0,0,0,0,0,0
1110051M20Rik,0,0,0,0,0,0
1110059E24Rik,0,0,0,0,0,0
1110059G10Rik,0,0,0,0,0,0
